"Step","ddqn_yf52szb3 - Ask Price","ddqn_yf52szb3 - Ask Price__MIN","ddqn_yf52szb3 - Ask Price__MAX"
"36","100.02","100.02","100.02"
"86","100.02","100.02","100.02"
"118","99.98","99.98","99.98"
"191","100.03","100.03","100.03"
"336","100.02","100.02","100.02"
"404","100.05","100.05","100.05"
"425","99.99","99.99","99.99"
"435","100","100","100"
"484","100.00999999999999","100.00999999999999","100.00999999999999"
"561","100.02","100.02","100.02"
"583","100","100","100"
"866","100.02","100.02","100.02"
"992","100","100","100"
"1193","100.00999999999999","100.00999999999999","100.00999999999999"
"1275","100.05","100.05","100.05"
"1427","100.02","100.02","100.02"
"1641","100.02","100.02","100.02"
"1658","100.00999999999999","100.00999999999999","100.00999999999999"
"1716","100.00999999999999","100.00999999999999","100.00999999999999"
"1842","100.03","100.03","100.03"
"1845","100.04","100.04","100.04"
"1935","100","100","100"
"2168","100","100","100"
"2170","100.04","100.04","100.04"
"2325","100.02","100.02","100.02"
"2394","100","100","100"
"2484","100","100","100"
"2563","100.05","100.05","100.05"
"2688","100.04","100.04","100.04"
"2717","100.03","100.03","100.03"
"2768","100.06","100.06","100.06"
"2783","100.00999999999999","100.00999999999999","100.00999999999999"
"2809","100.02","100.02","100.02"
"2961","99.99","99.99","99.99"
"3149","100.02","100.02","100.02"
"3219","100.03","100.03","100.03"
"3281","100.03999999999999","100.03999999999999","100.03999999999999"
"3349","100.03","100.03","100.03"
"3395","99.97","99.97","99.97"
"3519","100","100","100"
"3530","100.02","100.02","100.02"
"3609","99.99","99.99","99.99"
"4008","100.02","100.02","100.02"
"4087","100.00999999999999","100.00999999999999","100.00999999999999"
"4132","100.02","100.02","100.02"
"4157","100.05","100.05","100.05"
"4333","100.06","100.06","100.06"
"4356","100.05","100.05","100.05"
"4369","100.06","100.06","100.06"
"4442","100.00999999999999","100.00999999999999","100.00999999999999"
"4540","100.00999999999999","100.00999999999999","100.00999999999999"
"4553","100.05","100.05","100.05"
"4652","100.00999999999999","100.00999999999999","100.00999999999999"
"4749","99.95","99.95","99.95"
"4764","100.02","100.02","100.02"
"4823","100.00999999999999","100.00999999999999","100.00999999999999"
"5040","100.05","100.05","100.05"
"5126","100.07000000000001","100.07000000000001","100.07000000000001"
"5743","100.06","100.06","100.06"
"5816","100.05","100.05","100.05"
"5975","100.03","100.03","100.03"
"6011","100.00999999999999","100.00999999999999","100.00999999999999"
"6192","100","100","100"
"6227","100.00999999999999","100.00999999999999","100.00999999999999"
"6266","100.03","100.03","100.03"
"6483","100.02","100.02","100.02"
"6546","100.03","100.03","100.03"
"6547","100.03","100.03","100.03"
"6815","100.00999999999999","100.00999999999999","100.00999999999999"
"6835","100.05","100.05","100.05"
"6997","100.00999999999999","100.00999999999999","100.00999999999999"
"7061","99.99","99.99","99.99"
"7155","100.01","100.01","100.01"
"7249","100.03","100.03","100.03"
"7379","100.03999999999999","100.03999999999999","100.03999999999999"
"7440","100.02","100.02","100.02"
"7493","100.06","100.06","100.06"
"7610","100.09","100.09","100.09"
"7810","99.98","99.98","99.98"
"7967","100.02","100.02","100.02"
"7992","100.03","100.03","100.03"
"8016","100.06","100.06","100.06"
"8079","100.03999999999999","100.03999999999999","100.03999999999999"
"8153","100.03","100.03","100.03"
"8190","100.00999999999999","100.00999999999999","100.00999999999999"
"8427","100","100","100"
"8489","100.04","100.04","100.04"
"8686","100.00999999999999","100.00999999999999","100.00999999999999"
"8703","100","100","100"
"8743","100.02","100.02","100.02"
"9051","100.03999999999999","100.03999999999999","100.03999999999999"
"9139","100.05","100.05","100.05"
"9388","99.98","99.98","99.98"
"9634","100.03999999999999","100.03999999999999","100.03999999999999"
"9830","100","100","100"
"9924","100","100","100"
"10003","100.02","100.02","100.02"
"10031","100","100","100"
"10246","100.03","100.03","100.03"
"10252","100.02","100.02","100.02"
"10437","100.06","100.06","100.06"
"10466","100.00999999999999","100.00999999999999","100.00999999999999"
"10785","100.02","100.02","100.02"
"10909","100.02","100.02","100.02"
"10932","100.03","100.03","100.03"
"11164","100.00999999999999","100.00999999999999","100.00999999999999"
"11192","100","100","100"
"11267","100.02","100.02","100.02"
"11345","100.02","100.02","100.02"
"11406","100.05","100.05","100.05"
"11428","100.02","100.02","100.02"
"11461","100.03","100.03","100.03"
"11504","100.03","100.03","100.03"
"11528","100.03999999999999","100.03999999999999","100.03999999999999"
"11660","100.00999999999999","100.00999999999999","100.00999999999999"
"11829","100.04","100.04","100.04"
"11930","99.99","99.99","99.99"
"12073","100","100","100"
"12434","100.02","100.02","100.02"
"12522","100.03","100.03","100.03"
"12585","100.04","100.04","100.04"
"12712","100.00999999999999","100.00999999999999","100.00999999999999"
"12891","100.00999999999999","100.00999999999999","100.00999999999999"
"12986","100.08","100.08","100.08"
"13095","100.02","100.02","100.02"
"13190","100.06","100.06","100.06"
"13192","100.00999999999999","100.00999999999999","100.00999999999999"
"13438","99.99","99.99","99.99"
"13705","100.03","100.03","100.03"
"13783","100.06","100.06","100.06"
"13815","100.03","100.03","100.03"
"13841","100.06","100.06","100.06"
"13907","100.06","100.06","100.06"
"14026","99.99000000000001","99.99000000000001","99.99000000000001"
"14296","100.05","100.05","100.05"
"14507","100.00999999999999","100.00999999999999","100.00999999999999"
"14928","100.00999999999999","100.00999999999999","100.00999999999999"
"14952","100.02","100.02","100.02"
"14972","99.98","99.98","99.98"
"15000","100.05","100.05","100.05"
"15087","100.03","100.03","100.03"
"15134","99.98","99.98","99.98"
"15359","99.98","99.98","99.98"
"15396","100","100","100"
"15491","100.05","100.05","100.05"
"15574","100.00999999999999","100.00999999999999","100.00999999999999"
"15636","99.99","99.99","99.99"
"15691","100.06","100.06","100.06"
"16163","100.02","100.02","100.02"
"16243","99.99000000000001","99.99000000000001","99.99000000000001"
"16447","100.06","100.06","100.06"
"16650","100.00999999999999","100.00999999999999","100.00999999999999"
"16741","100.03","100.03","100.03"
"16842","100.00999999999999","100.00999999999999","100.00999999999999"
"16929","100.03999999999999","100.03999999999999","100.03999999999999"
"16975","99.99000000000001","99.99000000000001","99.99000000000001"
"17009","100.02","100.02","100.02"
"17074","100","100","100"
"17144","99.98","99.98","99.98"
"17237","100.01","100.01","100.01"
"17385","99.96","99.96","99.96"
"17399","100.07","100.07","100.07"
"17406","100.02","100.02","100.02"
"17506","100","100","100"
"17548","100.00999999999999","100.00999999999999","100.00999999999999"
"17666","100.02","100.02","100.02"
"17728","100","100","100"
"17807","100.00999999999999","100.00999999999999","100.00999999999999"
"17851","100.05","100.05","100.05"
"17894","100.03999999999999","100.03999999999999","100.03999999999999"
"17980","100.03","100.03","100.03"
"18078","100.02","100.02","100.02"
"18239","100.03","100.03","100.03"
"18413","100.01","100.01","100.01"
"18548","100","100","100"
"18554","100.04","100.04","100.04"
"18627","100.03","100.03","100.03"
"18817","100.03999999999999","100.03999999999999","100.03999999999999"
"19033","100.03","100.03","100.03"
"19654","100.00999999999999","100.00999999999999","100.00999999999999"
"19746","100.02","100.02","100.02"
"19840","100.03","100.03","100.03"
"19850","100.01","100.01","100.01"
"20036","100","100","100"
"20070","100.03","100.03","100.03"
"20139","100.01","100.01","100.01"
"20300","100.02","100.02","100.02"
"20562","100.02","100.02","100.02"
"20701","100.02","100.02","100.02"
"20971","100.02","100.02","100.02"
"20976","100.02","100.02","100.02"
"20977","99.99","99.99","99.99"
"21031","100.03","100.03","100.03"
"21103","100.03","100.03","100.03"
"21581","100.03","100.03","100.03"
"21595","100.03999999999999","100.03999999999999","100.03999999999999"
"21636","100.03","100.03","100.03"
"21955","100.03","100.03","100.03"
"22025","100.03999999999999","100.03999999999999","100.03999999999999"
"22184","100.02","100.02","100.02"
"22306","100","100","100"
"22316","100.04","100.04","100.04"
"22336","100.03","100.03","100.03"
"22410","99.98","99.98","99.98"
"22533","100.03","100.03","100.03"
"22731","100.05","100.05","100.05"
"22751","100.02","100.02","100.02"
"23013","100","100","100"
"23103","100.00999999999999","100.00999999999999","100.00999999999999"
"23144","99.99","99.99","99.99"
"23331","99.99000000000001","99.99000000000001","99.99000000000001"
"23511","100.02","100.02","100.02"
"23678","100.02","100.02","100.02"
"23806","100.07000000000001","100.07000000000001","100.07000000000001"
"23923","100.01","100.01","100.01"
"23925","100.07000000000001","100.07000000000001","100.07000000000001"
"24046","100.00999999999999","100.00999999999999","100.00999999999999"
"24194","100.01","100.01","100.01"
"24242","100.00999999999999","100.00999999999999","100.00999999999999"
"24291","99.99","99.99","99.99"
"24419","100.03","100.03","100.03"
"24467","100.00999999999999","100.00999999999999","100.00999999999999"
"24671","100.05","100.05","100.05"
"24982","100.00999999999999","100.00999999999999","100.00999999999999"
"25035","99.99","99.99","99.99"
"25092","100.00999999999999","100.00999999999999","100.00999999999999"
"25105","100.02","100.02","100.02"
"25145","100","100","100"
"25265","100.03","100.03","100.03"
"25332","100.02","100.02","100.02"
"25689","100.03999999999999","100.03999999999999","100.03999999999999"
"25767","100.00999999999999","100.00999999999999","100.00999999999999"
"25847","100.03","100.03","100.03"
"25882","100.02","100.02","100.02"
"25991","100.03","100.03","100.03"
"26077","100.03","100.03","100.03"
"26138","100.03","100.03","100.03"
"26166","100.00999999999999","100.00999999999999","100.00999999999999"
"26319","99.99","99.99","99.99"
