"Step","ddqn_5jioz8z8 - Ask Price","ddqn_5jioz8z8 - Ask Price__MIN","ddqn_5jioz8z8 - Ask Price__MAX"
"121","99.98","99.98","99.98"
"229","100","100","100"
"281","100.00999999999999","100.00999999999999","100.00999999999999"
"431","100.03","100.03","100.03"
"440","100","100","100"
"530","99.98","99.98","99.98"
"668","99.99","99.99","99.99"
"691","100.03999999999999","100.03999999999999","100.03999999999999"
"818","100.02","100.02","100.02"
"974","100.03","100.03","100.03"
"978","100.00999999999999","100.00999999999999","100.00999999999999"
"985","100.00999999999999","100.00999999999999","100.00999999999999"
"1082","100.03","100.03","100.03"
"1160","100.03","100.03","100.03"
"1242","100.07","100.07","100.07"
"1387","100.05","100.05","100.05"
"1433","100.02","100.02","100.02"
"1616","100.06","100.06","100.06"
"1810","100.05","100.05","100.05"
"2010","100.03","100.03","100.03"
"2405","100.00999999999999","100.00999999999999","100.00999999999999"
"2453","100.05","100.05","100.05"
"2622","100.03","100.03","100.03"
"2932","100.02","100.02","100.02"
"2946","100","100","100"
"3064","100.03999999999999","100.03999999999999","100.03999999999999"
"3114","100.04","100.04","100.04"
"3248","100.02","100.02","100.02"
"3441","100.02","100.02","100.02"
"3518","99.99","99.99","99.99"
"3627","100.02","100.02","100.02"
"3665","100.03","100.03","100.03"
"3736","100.00999999999999","100.00999999999999","100.00999999999999"
"3785","100.00999999999999","100.00999999999999","100.00999999999999"
"3993","100.02","100.02","100.02"
"4172","100.00999999999999","100.00999999999999","100.00999999999999"
"4279","100.02","100.02","100.02"
"4466","100.03","100.03","100.03"
"4566","100.00999999999999","100.00999999999999","100.00999999999999"
"5002","100","100","100"
"5422","100.06","100.06","100.06"
"5530","100.01","100.01","100.01"
"5562","100.00999999999999","100.00999999999999","100.00999999999999"
"5627","100.05","100.05","100.05"
"5778","100.03","100.03","100.03"
"5781","100.03","100.03","100.03"
"6068","100.03999999999999","100.03999999999999","100.03999999999999"
"6084","99.98","99.98","99.98"
"6337","100.02","100.02","100.02"
"6616","100","100","100"
"6799","100.06","100.06","100.06"
"6867","100.03","100.03","100.03"
"7235","100.03999999999999","100.03999999999999","100.03999999999999"
"7449","100.02","100.02","100.02"
"7503","100.00999999999999","100.00999999999999","100.00999999999999"
"7542","100.06","100.06","100.06"
"7549","100.06","100.06","100.06"
"7575","100.03999999999999","100.03999999999999","100.03999999999999"
"7631","100.02","100.02","100.02"
"7767","100.05","100.05","100.05"
"7836","100.03","100.03","100.03"
"8165","100.02","100.02","100.02"
"8226","99.99000000000001","99.99000000000001","99.99000000000001"
"8469","100.00999999999999","100.00999999999999","100.00999999999999"
"8582","100.02","100.02","100.02"
"8769","100.03999999999999","100.03999999999999","100.03999999999999"
"8826","99.95","99.95","99.95"
"8934","100.03","100.03","100.03"
"8953","100.03999999999999","100.03999999999999","100.03999999999999"
"9169","100.07","100.07","100.07"
"9176","99.98","99.98","99.98"
"9637","100.02","100.02","100.02"
"9644","100.03","100.03","100.03"
"9834","100.05","100.05","100.05"
"9955","99.99","99.99","99.99"
"10222","100.00999999999999","100.00999999999999","100.00999999999999"
"10297","100.03","100.03","100.03"
"10326","100.03999999999999","100.03999999999999","100.03999999999999"
"10356","100.03999999999999","100.03999999999999","100.03999999999999"
"10790","99.99000000000001","99.99000000000001","99.99000000000001"
"10818","100","100","100"
"10857","100.00999999999999","100.00999999999999","100.00999999999999"
"10863","100.00999999999999","100.00999999999999","100.00999999999999"
"10921","100.03","100.03","100.03"
"10932","100.05","100.05","100.05"
"11077","100.05","100.05","100.05"
"11251","100.02","100.02","100.02"
"11517","100.00999999999999","100.00999999999999","100.00999999999999"
"11547","100.03999999999999","100.03999999999999","100.03999999999999"
"11569","100.01","100.01","100.01"
"11710","100","100","100"
"11756","100","100","100"
"11795","100","100","100"
"11948","100.05","100.05","100.05"
"12019","100.03","100.03","100.03"
"12224","100.03999999999999","100.03999999999999","100.03999999999999"
"12280","100","100","100"
"12404","100.05","100.05","100.05"
"12603","100.00999999999999","100.00999999999999","100.00999999999999"
"12612","100.02","100.02","100.02"
"12675","100.07","100.07","100.07"
"12768","100.02","100.02","100.02"
"12807","100.00999999999999","100.00999999999999","100.00999999999999"
"13058","100.02","100.02","100.02"
"13111","100.03","100.03","100.03"
"13136","100.00999999999999","100.00999999999999","100.00999999999999"
"13346","100.02","100.02","100.02"
"13385","100.04","100.04","100.04"
"13675","100.05","100.05","100.05"
"13869","100.01","100.01","100.01"
"14003","100.02","100.02","100.02"
"14080","100.03999999999999","100.03999999999999","100.03999999999999"
"14147","99.99","99.99","99.99"
"14175","100.03","100.03","100.03"
"14210","100.00999999999999","100.00999999999999","100.00999999999999"
"14237","100.03","100.03","100.03"
"14642","100.06","100.06","100.06"
"14768","100.03","100.03","100.03"
"14839","100.03","100.03","100.03"
"14922","100","100","100"
"15223","99.98","99.98","99.98"
"15355","100.03999999999999","100.03999999999999","100.03999999999999"
"15379","100.03","100.03","100.03"
"15532","100.03999999999999","100.03999999999999","100.03999999999999"
"15697","100","100","100"
"15881","100.02","100.02","100.02"
"15929","99.99","99.99","99.99"
"16027","100.05","100.05","100.05"
"16183","100.03999999999999","100.03999999999999","100.03999999999999"
"16387","100.02","100.02","100.02"
"16470","100.00999999999999","100.00999999999999","100.00999999999999"
"16689","100.03","100.03","100.03"
"16822","100.03","100.03","100.03"
"16889","100.02","100.02","100.02"
"17126","100.03","100.03","100.03"
"17636","100.03","100.03","100.03"
"17639","100.02","100.02","100.02"
"17641","99.98","99.98","99.98"
"17868","100.00999999999999","100.00999999999999","100.00999999999999"
"18092","100.01","100.01","100.01"
"18382","100.02","100.02","100.02"
"18792","100.02","100.02","100.02"
"18885","100.03999999999999","100.03999999999999","100.03999999999999"
"18897","100.00999999999999","100.00999999999999","100.00999999999999"
"18979","100.00999999999999","100.00999999999999","100.00999999999999"
"19073","100.03","100.03","100.03"
"19237","100.02","100.02","100.02"
"19421","100.02","100.02","100.02"
"19625","100.02","100.02","100.02"
"19691","100.04","100.04","100.04"
"19848","100.00999999999999","100.00999999999999","100.00999999999999"
"20209","100.03999999999999","100.03999999999999","100.03999999999999"
"20295","100.00999999999999","100.00999999999999","100.00999999999999"
"20336","100.02","100.02","100.02"
"20372","100.02","100.02","100.02"
"20464","100.03","100.03","100.03"
"20595","100.06","100.06","100.06"
"20609","100.06","100.06","100.06"
"20610","100.02","100.02","100.02"
"20617","100.02","100.02","100.02"
"20745","100","100","100"
"20925","100.00999999999999","100.00999999999999","100.00999999999999"
"20981","100.03","100.03","100.03"
"21034","99.99","99.99","99.99"
"21065","100.03","100.03","100.03"
"21110","100.02","100.02","100.02"
"21158","100.03","100.03","100.03"
"21484","100.08","100.08","100.08"
"21544","100.02","100.02","100.02"
"21814","100.02","100.02","100.02"
"21848","100.02","100.02","100.02"
"21888","100.06","100.06","100.06"
"21898","100.03","100.03","100.03"
"21951","100.02","100.02","100.02"
"21967","100.03","100.03","100.03"
"22075","100.02","100.02","100.02"
"22095","100.02","100.02","100.02"
"22255","100.02","100.02","100.02"
"22266","100","100","100"
"22461","100.05","100.05","100.05"
"22465","100.05","100.05","100.05"
"22674","100.02","100.02","100.02"
"22714","100.05","100.05","100.05"
"22731","100.03","100.03","100.03"
"22813","100.03","100.03","100.03"
"22883","100.00999999999999","100.00999999999999","100.00999999999999"
"22956","100.03999999999999","100.03999999999999","100.03999999999999"
"23053","100.02","100.02","100.02"
"23077","100.05","100.05","100.05"
"23267","100.08000000000001","100.08000000000001","100.08000000000001"
"23303","100.00999999999999","100.00999999999999","100.00999999999999"
"23345","100.02","100.02","100.02"
"23508","100.03999999999999","100.03999999999999","100.03999999999999"
"23796","100.00999999999999","100.00999999999999","100.00999999999999"
"23841","100.03","100.03","100.03"
"23956","100","100","100"
"24168","100.01","100.01","100.01"
"24243","100.03999999999999","100.03999999999999","100.03999999999999"
"24297","100.05","100.05","100.05"
"24316","100.00999999999999","100.00999999999999","100.00999999999999"
"24376","100.01","100.01","100.01"
"24380","100.01","100.01","100.01"
"24465","100.00999999999999","100.00999999999999","100.00999999999999"
"24513","100.01","100.01","100.01"
"24543","100.02","100.02","100.02"
"24602","100.03999999999999","100.03999999999999","100.03999999999999"
"24707","100.02","100.02","100.02"
"25021","99.98","99.98","99.98"
"25089","100.03","100.03","100.03"
"25225","100.00999999999999","100.00999999999999","100.00999999999999"
"25458","100.03","100.03","100.03"
"25511","100.00999999999999","100.00999999999999","100.00999999999999"
"25719","100.03","100.03","100.03"
"25816","100.07000000000001","100.07000000000001","100.07000000000001"
"25840","100.02","100.02","100.02"
"25955","100.05","100.05","100.05"
"25974","100","100","100"
"26246","100.00999999999999","100.00999999999999","100.00999999999999"
"26342","100.03999999999999","100.03999999999999","100.03999999999999"
"26398","100.03","100.03","100.03"
"26413","100.03","100.03","100.03"
"26938","100.00999999999999","100.00999999999999","100.00999999999999"
"27062","100.06","100.06","100.06"
"27151","100.00999999999999","100.00999999999999","100.00999999999999"
"27180","100.03","100.03","100.03"
"27204","100.03","100.03","100.03"
"27224","100.03","100.03","100.03"
"27397","100.07","100.07","100.07"
"27550","100","100","100"
"27969","100.03","100.03","100.03"
"28113","100.02","100.02","100.02"
"28256","100.03","100.03","100.03"
"28434","100.03","100.03","100.03"
"28499","100.03999999999999","100.03999999999999","100.03999999999999"
"28520","100.00999999999999","100.00999999999999","100.00999999999999"
"28538","100.00999999999999","100.00999999999999","100.00999999999999"
"28593","100.02","100.02","100.02"
"28865","100.05","100.05","100.05"
"29166","100.02","100.02","100.02"
"29390","100.02","100.02","100.02"
"29395","100.00999999999999","100.00999999999999","100.00999999999999"
"29441","100.00999999999999","100.00999999999999","100.00999999999999"
"29653","100.05","100.05","100.05"
"29768","100.02","100.02","100.02"
"29787","100.05","100.05","100.05"
"29959","100.02","100.02","100.02"
"30243","100.02","100.02","100.02"
"30361","100.00999999999999","100.00999999999999","100.00999999999999"
"30608","99.97","99.97","99.97"
"30701","100.03","100.03","100.03"
"30720","99.99","99.99","99.99"
"30737","100.02","100.02","100.02"
"31027","100.04","100.04","100.04"
"31077","100.03999999999999","100.03999999999999","100.03999999999999"
"31179","100.04","100.04","100.04"
"31189","100.00999999999999","100.00999999999999","100.00999999999999"
"31301","100.03999999999999","100.03999999999999","100.03999999999999"
"31373","100.03999999999999","100.03999999999999","100.03999999999999"
"31391","100","100","100"
"31413","100.02","100.02","100.02"
"31504","100.03","100.03","100.03"
"31561","100.03","100.03","100.03"
"31583","100.00999999999999","100.00999999999999","100.00999999999999"
"31590","100.02","100.02","100.02"
"31666","99.97","99.97","99.97"
"31747","100.02","100.02","100.02"
"31776","100.04","100.04","100.04"
"31812","100.02","100.02","100.02"
"31821","100.02","100.02","100.02"
"31825","100.02","100.02","100.02"
"32168","100.04","100.04","100.04"
"32244","100.02","100.02","100.02"
"32419","100.05","100.05","100.05"
"32457","100","100","100"
"32898","100.03999999999999","100.03999999999999","100.03999999999999"
"32911","100.00999999999999","100.00999999999999","100.00999999999999"
"33203","100.02","100.02","100.02"
"33345","100.06","100.06","100.06"
"33384","100.00999999999999","100.00999999999999","100.00999999999999"
"33440","100.09","100.09","100.09"
"33512","100.03","100.03","100.03"
"33648","100","100","100"
"33768","100","100","100"
"33931","100.05","100.05","100.05"
"34038","100.02","100.02","100.02"
"34113","100.03999999999999","100.03999999999999","100.03999999999999"
"34140","100.04","100.04","100.04"
"34243","100","100","100"
"34257","100.00999999999999","100.00999999999999","100.00999999999999"
"34323","100.02","100.02","100.02"
"34325","100.02","100.02","100.02"
"34364","100.02","100.02","100.02"
"34770","100.03999999999999","100.03999999999999","100.03999999999999"
"34908","100.05","100.05","100.05"
"34926","100.02","100.02","100.02"
"35249","100.02","100.02","100.02"
"35340","100.02","100.02","100.02"
"35494","100.00999999999999","100.00999999999999","100.00999999999999"
"35498","100.03","100.03","100.03"
"35621","100.05","100.05","100.05"
"35644","100.00999999999999","100.00999999999999","100.00999999999999"
"35682","100.02","100.02","100.02"
"35711","100.03999999999999","100.03999999999999","100.03999999999999"
"36180","100.03","100.03","100.03"
"36195","100.02","100.02","100.02"
"36314","100.06","100.06","100.06"
"36322","99.97","99.97","99.97"
"36521","100.06","100.06","100.06"
"36602","100.05","100.05","100.05"
"37148","100.03","100.03","100.03"
"37274","100.02","100.02","100.02"
"37345","100.02","100.02","100.02"
"37901","100.06","100.06","100.06"
"37916","100.04","100.04","100.04"
"37948","100.05","100.05","100.05"
"38217","100.02","100.02","100.02"
"38423","100.00999999999999","100.00999999999999","100.00999999999999"
"38463","100.06","100.06","100.06"
"38581","100.01","100.01","100.01"
"38594","100.03999999999999","100.03999999999999","100.03999999999999"
"38749","100.03999999999999","100.03999999999999","100.03999999999999"
"38803","100.03","100.03","100.03"
"38804","100.03999999999999","100.03999999999999","100.03999999999999"
"38955","100.02","100.02","100.02"
"39046","100.04","100.04","100.04"
"39168","100.02","100.02","100.02"
"39280","100.02","100.02","100.02"
"39290","99.98","99.98","99.98"
"39397","99.98","99.98","99.98"
"39432","100.00999999999999","100.00999999999999","100.00999999999999"
"39641","100","100","100"
"39688","100.00999999999999","100.00999999999999","100.00999999999999"
"39824","100","100","100"
"39868","100","100","100"
"39979","100.02","100.02","100.02"
"40052","99.99","99.99","99.99"
"40098","100.02","100.02","100.02"
"40215","100.03","100.03","100.03"
"40238","100.00999999999999","100.00999999999999","100.00999999999999"
